namestate,Abbreviation,FIPS,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
Rhode Island,RI,44,1996,0.85,347.44,92.06,82.94
Rhode Island,RI,44,1997,0.69,349.84,92.7,83.52
Rhode Island,RI,44,1998,3.03,360.43,95.51,86.05
Rhode Island,RI,44,1999,3.91,374.54,99.25,89.41
Rhode Island,RI,44,2000,11.84,418.88,111,100
Rhode Island,RI,44,2001,10.93,464.69,123.13,110.93
Rhode Island,RI,44,2002,14.12,530.32,140.52,126.6
Rhode Island,RI,44,2003,10.83,587.75,155.74,140.31
Rhode Island,RI,44,2004,18.05,693.85,183.85,165.64
Rhode Island,RI,44,2005,14.15,792.05,209.88,189.09
Rhode Island,RI,44,2006,4.01,823.84,218.3,196.68
Rhode Island,RI,44,2007,-2.41,804.01,213.05,191.94
Rhode Island,RI,44,2008,-7.17,746.37,197.77,178.18
Rhode Island,RI,44,2009,-9.55,675.1,178.89,161.17
Rhode Island,RI,44,2010,-4.51,644.63,170.81,153.89
Rhode Island,RI,44,2011,-4.62,614.84,162.92,146.78
Rhode Island,RI,44,2012,-3.78,591.6,156.76,141.23
Rhode Island,RI,44,2013,-0.13,590.8,156.55,141.04
Rhode Island,RI,44,2014,3.07,608.95,161.36,145.38
Rhode Island,RI,44,2015,4.36,635.51,168.4,151.72
Rhode Island,RI,44,2016,4.58,664.61,176.11,158.66
Rhode Island,RI,44,2017,6.21,705.9,187.05,168.52
Rhode Island,RI,44,2018,6.35,750.72,198.93,179.22
Rhode Island,RI,44,2019,3.94,780.32,206.77,186.29
Rhode Island,RI,44,2020,5.01,819.44,217.13,195.63
South Carolina,SC,45,1975,0,100,45.67,32.64
South Carolina,SC,45,1976,5.31,105.31,48.09,34.38
South Carolina,SC,45,1977,4.4,109.94,50.21,35.89
South Carolina,SC,45,1978,10.45,121.43,55.46,39.64
South Carolina,SC,45,1979,10.29,133.93,61.16,43.72
South Carolina,SC,45,1980,9.96,147.27,67.25,48.08
South Carolina,SC,45,1981,9.53,161.31,73.67,52.66
South Carolina,SC,45,1982,4.04,167.82,76.64,54.79
South Carolina,SC,45,1983,2.08,171.32,78.24,55.93
South Carolina,SC,45,1984,3.36,177.08,80.87,57.81
South Carolina,SC,45,1985,3.65,183.54,83.82,59.92
South Carolina,SC,45,1986,3.17,189.36,86.48,61.82
South Carolina,SC,45,1987,3.77,196.51,89.74,64.15
South Carolina,SC,45,1988,4.38,205.12,93.68,66.96
South Carolina,SC,45,1989,3.77,212.86,97.21,69.49
South Carolina,SC,45,1990,2.87,218.97,100,71.48
South Carolina,SC,45,1991,2.27,223.95,102.27,73.11
South Carolina,SC,45,1992,1.96,228.34,104.28,74.54
South Carolina,SC,45,1993,1.56,231.91,105.91,75.71
South Carolina,SC,45,1994,2.26,237.15,108.3,77.42
South Carolina,SC,45,1995,3.74,246.03,112.36,80.32
South Carolina,SC,45,1996,3.92,255.67,116.76,83.46
South Carolina,SC,45,1997,4.3,266.66,121.78,87.05
South Carolina,SC,45,1998,4.29,278.09,127,90.78
South Carolina,SC,45,1999,4.56,290.77,132.79,94.92
South Carolina,SC,45,2000,5.35,306.33,139.89,100
South Carolina,SC,45,2001,4.9,321.34,146.75,104.9
South Carolina,SC,45,2002,2.65,329.86,150.64,107.68
South Carolina,SC,45,2003,1.86,336.01,153.45,109.69
South Carolina,SC,45,2004,3.98,349.37,159.55,114.05
South Carolina,SC,45,2005,7.14,374.31,170.94,122.19
South Carolina,SC,45,2006,7.32,401.73,183.46,131.14
South Carolina,SC,45,2007,4.02,417.87,190.83,136.41
South Carolina,SC,45,2008,0.49,419.93,191.77,137.08
South Carolina,SC,45,2009,-3,407.34,186.02,132.98
South Carolina,SC,45,2010,-5.48,385,175.82,125.68
South Carolina,SC,45,2011,-4.01,369.55,168.76,120.64
South Carolina,SC,45,2012,-2.06,361.95,165.29,118.16
South Carolina,SC,45,2013,0.6,364.13,166.29,118.87
South Carolina,SC,45,2014,2.88,374.61,171.07,122.29
South Carolina,SC,45,2015,4.38,391.01,178.56,127.64
South Carolina,SC,45,2016,4.73,409.51,187.02,133.68
South Carolina,SC,45,2017,5.23,430.94,196.8,140.68
South Carolina,SC,45,2018,5.96,456.62,208.53,149.06
South Carolina,SC,45,2019,4.53,477.31,217.97,155.81
South Carolina,SC,45,2020,3.65,494.74,225.94,161.51
South Dakota,SD,46,1975,0,100,51.44,33.06
South Dakota,SD,46,1976,4.53,104.53,53.77,34.55
South Dakota,SD,46,1977,10.07,115.06,59.19,38.03
South Dakota,SD,46,1978,13.61,130.72,67.25,43.21
South Dakota,SD,46,1979,11.5,145.75,74.98,48.18
South Dakota,SD,46,1980,5.62,153.94,79.19,50.89
South Dakota,SD,46,1981,-3.68,148.28,76.28,49.02
South Dakota,SD,46,1982,12.95,167.48,86.16,55.36
South Dakota,SD,46,1983,-6.98,155.8,80.15,51.5
South Dakota,SD,46,1984,13.5,176.83,90.97,58.45
South Dakota,SD,46,1985,-0.96,175.13,90.1,57.89
South Dakota,SD,46,1986,2.89,180.2,92.7,59.57
South Dakota,SD,46,1987,1.99,183.79,94.55,60.75
South Dakota,SD,46,1988,-1.68,180.69,92.96,59.73
South Dakota,SD,46,1989,3.09,186.28,95.83,61.58
South Dakota,SD,46,1990,4.35,194.38,100,64.26
South Dakota,SD,46,1991,4.16,202.47,104.16,66.93
South Dakota,SD,46,1992,4.79,212.18,109.15,70.14
South Dakota,SD,46,1993,6.43,225.82,116.17,74.65
South Dakota,SD,46,1994,6.12,239.65,123.28,79.22
South Dakota,SD,46,1995,5.07,251.79,129.53,83.23
South Dakota,SD,46,1996,3.45,260.48,134,86.11
South Dakota,SD,46,1997,4.2,271.41,139.63,89.72
South Dakota,SD,46,1998,3.01,279.58,143.83,92.42
South Dakota,SD,46,1999,3.21,288.55,148.44,95.39
South Dakota,SD,46,2000,4.84,302.51,155.62,100
South Dakota,SD,46,2001,4.11,314.94,162.02,104.11
South Dakota,SD,46,2002,3.34,325.45,167.43,107.58
South Dakota,SD,46,2003,2.38,333.21,171.42,110.15
South Dakota,SD,46,2004,5.22,350.6,180.36,115.9
South Dakota,SD,46,2005,6.77,374.34,192.58,123.74
South Dakota,SD,46,2006,4.76,392.15,201.74,129.63
South Dakota,SD,46,2007,3.47,405.76,208.74,134.13
South Dakota,SD,46,2008,2.11,414.33,213.15,136.96
South Dakota,SD,46,2009,-0.12,413.83,212.89,136.8
South Dakota,SD,46,2010,-1.31,408.41,210.1,135.01
South Dakota,SD,46,2011,-0.2,407.6,209.69,134.74
South Dakota,SD,46,2012,1.01,411.71,211.8,136.1
South Dakota,SD,46,2013,3.1,424.48,218.37,140.32
South Dakota,SD,46,2014,3.25,438.28,225.47,144.88
South Dakota,SD,46,2015,3.42,453.26,233.18,149.83
South Dakota,SD,46,2016,4.44,473.41,243.54,156.49
South Dakota,SD,46,2017,4.89,496.54,255.44,164.14
South Dakota,SD,46,2018,4.71,519.92,267.47,171.87
South Dakota,SD,46,2019,3.65,538.9,277.23,178.14
South Dakota,SD,46,2020,3.39,557.17,286.63,184.18
Tennessee,TN,47,1975,0,100,47.09,33.17
Tennessee,TN,47,1976,2.82,102.82,48.42,34.11
Tennessee,TN,47,1977,9.24,112.32,52.89,37.26
Tennessee,TN,47,1978,11.97,125.77,59.22,41.72
Tennessee,TN,47,1979,8.33,136.25,64.15,45.19
Tennessee,TN,47,1980,7.72,146.76,69.1,48.68
Tennessee,TN,47,1981,4.06,152.72,71.91,50.66
Tennessee,TN,47,1982,-0.2,152.42,71.77,50.56
Tennessee,TN,47,1983,8.45,165.29,77.83,54.83
Tennessee,TN,47,1984,2.75,169.84,79.97,56.34
Tennessee,TN,47,1985,6.93,181.61,85.51,60.24
Tennessee,TN,47,1986,5.32,191.27,90.06,63.44
Tennessee,TN,47,1987,5.62,202.02,95.12,67.01
Tennessee,TN,47,1988,3.19,208.47,98.16,69.15
Tennessee,TN,47,1989,1.43,211.46,99.57,70.14
Tennessee,TN,47,1990,0.44,212.38,100,70.45
Tennessee,TN,47,1991,0.88,214.25,100.88,71.07
Tennessee,TN,47,1992,2.15,218.85,103.05,72.59
Tennessee,TN,47,1993,2.55,224.43,105.67,74.44
Tennessee,TN,47,1994,4.5,234.54,110.43,77.8
Tennessee,TN,47,1995,6.15,248.97,117.23,82.58
Tennessee,TN,47,1996,4.57,260.35,122.59,86.36
Tennessee,TN,47,1997,4.56,272.22,128.18,90.3
Tennessee,TN,47,1998,3.91,282.85,133.19,93.82
Tennessee,TN,47,1999,3.1,291.63,137.31,96.73
Tennessee,TN,47,2000,3.38,301.48,141.95,100
Tennessee,TN,47,2001,3.66,312.51,147.15,103.66
Tennessee,TN,47,2002,2.18,319.34,150.36,105.92
Tennessee,TN,47,2003,1.68,324.7,152.89,107.7
Tennessee,TN,47,2004,3.55,336.23,158.32,111.53
Tennessee,TN,47,2005,6.32,357.49,168.33,118.58
Tennessee,TN,47,2006,7.05,382.71,180.2,126.94
Tennessee,TN,47,2007,4,398.03,187.41,132.03
Tennessee,TN,47,2008,0.1,398.42,187.6,132.16
Tennessee,TN,47,2009,-2.53,388.33,182.85,128.81
Tennessee,TN,47,2010,-3.58,374.42,176.3,124.2
Tennessee,TN,47,2011,-2.68,364.4,171.58,120.87
Tennessee,TN,47,2012,-1.13,360.29,169.64,119.51
Tennessee,TN,47,2013,1.53,365.79,172.24,121.33
Tennessee,TN,47,2014,4.14,380.94,179.37,126.36
Tennessee,TN,47,2015,4.14,396.7,186.79,131.59
Tennessee,TN,47,2016,5.42,418.2,196.91,138.72
Tennessee,TN,47,2017,6.8,446.64,210.3,148.15
Tennessee,TN,47,2018,7.1,478.34,225.23,158.66
Tennessee,TN,47,2019,4.68,500.74,235.78,166.1
Tennessee,TN,47,2020,4.73,524.41,246.93,173.95
Texas,TX,48,1975,0,100,50.11,37.11
Texas,TX,48,1976,8.08,108.08,54.16,40.1
Texas,TX,48,1977,12.44,121.53,60.9,45.09
Texas,TX,48,1978,13.84,138.34,69.33,51.33
Texas,TX,48,1979,16.06,160.56,80.46,59.58
Texas,TX,48,1980,11.22,178.58,89.49,66.26
Texas,TX,48,1981,8.17,193.17,96.8,71.68
Texas,TX,48,1982,7.91,208.44,104.46,77.34
Texas,TX,48,1983,4.16,217.11,108.8,80.56
Texas,TX,48,1984,1.43,220.2,110.35,81.71
Texas,TX,48,1985,-0.53,219.04,109.77,81.28
Texas,TX,48,1986,0.79,220.76,110.63,81.92
Texas,TX,48,1987,-5.79,207.98,104.23,77.17
Texas,TX,48,1988,-6.22,195.04,97.74,72.37
Texas,TX,48,1989,0.94,196.88,98.66,73.05
Texas,TX,48,1990,1.36,199.55,100,74.04
Texas,TX,48,1991,1.99,203.52,101.99,75.52
Texas,TX,48,1992,2.86,209.34,104.91,77.68
Texas,TX,48,1993,2.17,213.88,107.19,79.36
Texas,TX,48,1994,1.98,218.11,109.3,80.93
Texas,TX,48,1995,1.54,221.48,110.99,82.18
Texas,TX,48,1996,2.26,226.49,113.5,84.04
Texas,TX,48,1997,2.11,231.28,115.9,85.82
Texas,TX,48,1998,4.15,240.88,120.71,89.38
Texas,TX,48,1999,4.75,252.32,126.45,93.63
Texas,TX,48,2000,6.81,269.5,135.06,100
Texas,TX,48,2001,5.73,284.93,142.79,105.73
Texas,TX,48,2002,3.04,293.59,147.13,108.94
Texas,TX,48,2003,1.95,299.33,150,111.07
Texas,TX,48,2004,2.14,305.73,153.21,113.44
Texas,TX,48,2005,4.35,319.02,159.87,118.38
Texas,TX,48,2006,5.7,337.2,168.98,125.12
Texas,TX,48,2007,4.67,352.93,176.86,130.96
Texas,TX,48,2008,1.36,357.73,179.27,132.74
Texas,TX,48,2009,-0.47,356.04,178.42,132.11
Texas,TX,48,2010,-1.43,350.93,175.86,130.22
Texas,TX,48,2011,-1.38,346.1,173.44,128.42
Texas,TX,48,2012,0.82,348.95,174.87,129.48
Texas,TX,48,2013,4.1,363.26,182.04,134.79
Texas,TX,48,2014,7.5,390.51,195.7,144.9
Texas,TX,48,2015,6.59,416.24,208.59,154.45
Texas,TX,48,2016,6.95,445.17,223.09,165.18
Texas,TX,48,2017,6.97,476.22,238.65,176.7
Texas,TX,48,2018,5.93,504.44,252.79,187.18
Texas,TX,48,2019,4.13,525.26,263.23,194.9
Texas,TX,48,2020,3.34,542.79,272.01,201.41
Utah,UT,49,1975,0,100,47.45,24.83
Utah,UT,49,1976,11.51,111.51,52.91,27.68
Utah,UT,49,1977,13.92,127.03,60.27,31.54
Utah,UT,49,1978,17.46,149.21,70.79,37.04
Utah,UT,49,1979,15.39,172.17,81.69,42.74
Utah,UT,49,1980,4.51,179.94,85.38,44.67
Utah,UT,49,1981,8.68,195.56,92.78,48.55
Utah,UT,49,1982,3.21,201.84,95.76,50.11
Utah,UT,49,1983,0.54,202.94,96.29,50.38
Utah,UT,49,1984,0.06,203.06,96.34,50.41
Utah,UT,49,1985,2.26,207.65,98.52,51.55
Utah,UT,49,1986,0.95,209.62,99.46,52.04
Utah,UT,49,1987,-1.79,205.88,97.68,51.11
Utah,UT,49,1988,-3.06,199.58,94.69,49.55
Utah,UT,49,1989,2.28,204.12,96.85,50.67
Utah,UT,49,1990,3.26,210.77,100,52.32
Utah,UT,49,1991,5.34,222.02,105.34,55.12
Utah,UT,49,1992,4.96,233.03,110.57,57.85
Utah,UT,49,1993,10.6,257.73,122.28,63.98
Utah,UT,49,1994,13.28,291.95,138.52,72.48
Utah,UT,49,1995,13.76,332.13,157.58,82.46
Utah,UT,49,1996,6.81,354.76,168.32,88.07
Utah,UT,49,1997,6.45,377.65,179.18,93.76
Utah,UT,49,1998,3.59,391.2,185.61,97.12
Utah,UT,49,1999,1.36,396.54,188.14,98.44
Utah,UT,49,2000,1.58,402.8,191.11,100
Utah,UT,49,2001,3.23,415.81,197.28,103.23
Utah,UT,49,2002,0.72,418.81,198.71,103.97
Utah,UT,49,2003,0.29,420.02,199.28,104.27
Utah,UT,49,2004,2.66,431.21,204.59,107.05
Utah,UT,49,2005,9.7,473.02,224.43,117.43
Utah,UT,49,2006,15.64,546.98,259.52,135.79
Utah,UT,49,2007,11.51,609.97,289.41,151.43
Utah,UT,49,2008,-0.68,605.8,287.43,150.4
Utah,UT,49,2009,-8.65,553.4,262.57,137.39
Utah,UT,49,2010,-7.54,511.68,242.77,127.03
Utah,UT,49,2011,-5.46,483.73,229.51,120.09
Utah,UT,49,2012,0.71,487.18,231.15,120.95
Utah,UT,49,2013,6.49,518.79,246.15,128.8
Utah,UT,49,2014,6.82,554.16,262.93,137.58
Utah,UT,49,2015,4.54,579.32,274.86,143.82
Utah,UT,49,2016,7.32,621.72,294.98,154.35
Utah,UT,49,2017,8.85,676.76,321.1,168.01
Utah,UT,49,2018,8.96,737.41,349.87,183.07
Utah,UT,49,2019,6.63,786.28,373.06,195.2
Utah,UT,49,2020,5.89,832.6,395.04,206.7
Vermont,VT,50,1975,0,100,34.07,29.37
Vermont,VT,50,1976,4.44,104.44,35.58,30.67
Vermont,VT,50,1977,6.54,111.27,37.91,32.68
Vermont,VT,50,1978,15.8,128.85,43.89,37.84
Vermont,VT,50,1979,3.46,133.31,45.41,39.15
Vermont,VT,50,1980,11.49,148.62,50.63,43.64
Vermont,VT,50,1981,4.01,154.58,52.66,45.39
Vermont,VT,50,1982,1.44,156.81,53.42,46.05
Vermont,VT,50,1983,3.96,163.03,55.54,47.87
Vermont,VT,50,1984,9.1,177.86,60.59,52.23
Vermont,VT,50,1985,7.43,191.07,65.09,56.11
Vermont,VT,50,1986,8.5,207.31,70.62,60.88
Vermont,VT,50,1987,12.27,232.76,79.29,68.35
Vermont,VT,50,1988,15.5,268.84,91.58,78.95
Vermont,VT,50,1989,8.18,290.84,99.08,85.41
Vermont,VT,50,1990,0.93,293.55,100,86.2
Vermont,VT,50,1991,-1.88,288.02,98.12,84.58
Vermont,VT,50,1992,-0.1,287.75,98.03,84.5
Vermont,VT,50,1993,0.1,288.03,98.12,84.58
Vermont,VT,50,1994,0.3,288.88,98.41,84.83
Vermont,VT,50,1995,0.72,290.96,99.12,85.44
Vermont,VT,50,1996,1.01,293.89,100.12,86.3
Vermont,VT,50,1997,0.71,295.99,100.83,86.92
Vermont,VT,50,1998,1.91,301.65,102.76,88.58
Vermont,VT,50,1999,3.92,313.48,106.79,92.06
Vermont,VT,50,2000,8.63,340.53,116.01,100
Vermont,VT,50,2001,6.37,362.22,123.4,106.37
Vermont,VT,50,2002,5.9,383.59,130.68,112.65
Vermont,VT,50,2003,5.18,403.47,137.45,118.48
Vermont,VT,50,2004,12.62,454.38,154.79,133.43
Vermont,VT,50,2005,13.73,516.75,176.04,151.75
Vermont,VT,50,2006,7.87,557.44,189.9,163.7
Vermont,VT,50,2007,2.04,568.83,193.78,167.04
Vermont,VT,50,2008,-0.15,567.95,193.48,166.79
Vermont,VT,50,2009,-3.14,550.14,187.41,161.55
Vermont,VT,50,2010,-1.83,540.06,183.98,158.59
Vermont,VT,50,2011,-1.04,534.47,182.07,156.95
Vermont,VT,50,2012,-0.8,530.2,180.62,155.7
Vermont,VT,50,2013,-0.28,528.72,180.12,155.26
Vermont,VT,50,2014,0.28,530.2,180.62,155.7
Vermont,VT,50,2015,1.46,537.92,183.25,157.97
Vermont,VT,50,2016,1.12,543.92,185.29,159.73
Vermont,VT,50,2017,2.3,556.4,189.55,163.39
Vermont,VT,50,2018,3.39,575.26,195.97,168.93
Vermont,VT,50,2019,3.13,593.28,202.11,174.22
Vermont,VT,50,2020,3.94,616.65,210.07,181.09
Virginia,VA,51,1975,0,100,36.59,29.69
Virginia,VA,51,1976,3.4,103.4,37.83,30.7
Virginia,VA,51,1977,8.46,112.15,41.03,33.3
Virginia,VA,51,1978,11.31,124.83,45.67,37.06
Virginia,VA,51,1979,9.6,136.82,50.06,40.62
Virginia,VA,51,1980,11.03,151.9,55.58,45.1
Virginia,VA,51,1981,4.8,159.2,58.25,47.26
Virginia,VA,51,1982,0.69,160.3,58.65,47.59
Virginia,VA,51,1983,9.89,176.15,64.45,52.3
Virginia,VA,51,1984,4.62,184.29,67.43,54.72
Virginia,VA,51,1985,5.22,193.91,70.95,57.57
Virginia,VA,51,1986,4.67,202.97,74.26,60.26
Virginia,VA,51,1987,8.22,219.67,80.37,65.22
Virginia,VA,51,1988,13.95,250.3,91.58,74.31
Virginia,VA,51,1989,8.12,270.62,99.02,80.35
Virginia,VA,51,1990,0.99,273.31,100,81.15
Virginia,VA,51,1991,-0.53,271.86,99.47,80.71
Virginia,VA,51,1992,0.92,274.35,100.38,81.45
Virginia,VA,51,1993,0.19,274.86,100.57,81.61
Virginia,VA,51,1994,0.78,277.01,101.35,82.24
Virginia,VA,51,1995,1.44,281,102.81,83.43
Virginia,VA,51,1996,1.78,286,104.64,84.91
Virginia,VA,51,1997,2.05,291.86,106.79,86.65
Virginia,VA,51,1998,2.09,297.96,109.02,88.46
Virginia,VA,51,1999,4.43,311.16,113.85,92.38
Virginia,VA,51,2000,8.25,336.82,123.24,100
Virginia,VA,51,2001,7.97,363.68,133.06,107.97
Virginia,VA,51,2002,7.67,391.56,143.26,116.25
Virginia,VA,51,2003,5.6,413.5,151.29,122.77
Virginia,VA,51,2004,13.55,469.54,171.8,139.4
Virginia,VA,51,2005,18.9,558.27,204.26,165.75
Virginia,VA,51,2006,10.36,616.14,225.43,182.93
Virginia,VA,51,2007,1.91,627.91,229.74,186.42
Virginia,VA,51,2008,-4.56,599.28,219.26,177.92
Virginia,VA,51,2009,-6.64,559.48,204.7,166.11
Virginia,VA,51,2010,-4.3,535.41,195.89,158.96
Virginia,VA,51,2011,-2.88,519.99,190.25,154.38
Virginia,VA,51,2012,-1.23,513.6,187.92,152.49
Virginia,VA,51,2013,1.33,520.41,190.41,154.51
Virginia,VA,51,2014,3.13,536.68,196.36,159.34
Virginia,VA,51,2015,2.29,548.97,200.86,162.99
Virginia,VA,51,2016,2.32,561.69,205.51,166.76
Virginia,VA,51,2017,3.23,579.81,212.14,172.14
Virginia,VA,51,2018,3.83,601.99,220.25,178.73
Virginia,VA,51,2019,3.44,622.72,227.84,184.88
Virginia,VA,51,2020,3.61,645.2,236.06,191.56
Washington,WA,53,1975,0,100,30.39,19.76
Washington,WA,53,1976,11.79,111.79,33.98,22.09
Washington,WA,53,1977,16.08,129.77,39.44,25.65
Washington,WA,53,1978,20.87,156.85,47.67,31
Washington,WA,53,1979,15.05,180.46,54.84,35.67
Washington,WA,53,1980,9.57,197.72,60.09,39.08
Washington,WA,53,1981,3.52,204.68,62.21,40.45
Washington,WA,53,1982,-8.8,186.66,56.73,36.89
Washington,WA,53,1983,10.65,206.55,62.77,40.82
Washington,WA,53,1984,2.83,212.39,64.55,41.98
Washington,WA,53,1985,2.03,216.7,65.86,42.83
Washington,WA,53,1986,2.13,221.31,67.26,43.74
Washington,WA,53,1987,2.76,227.41,69.11,44.95
Washington,WA,53,1988,5.96,240.96,73.23,47.62
Washington,WA,53,1989,15.11,277.37,84.3,54.82
Washington,WA,53,1990,18.63,329.04,100,65.03
Washington,WA,53,1991,6.44,350.22,106.44,69.22
Washington,WA,53,1992,2.87,360.26,109.49,71.2
Washington,WA,53,1993,3.37,372.4,113.18,73.6
Washington,WA,53,1994,4.08,387.59,117.79,76.6
Washington,WA,53,1995,4.1,403.47,122.62,79.74
Washington,WA,53,1996,2.59,413.92,125.8,81.81
Washington,WA,53,1997,4.26,431.54,131.15,85.29
Washington,WA,53,1998,5.46,455.11,138.31,89.95
Washington,WA,53,1999,4.55,475.83,144.61,94.04
Washington,WA,53,2000,6.33,505.96,153.77,100
Washington,WA,53,2001,5.2,532.27,161.77,105.2
Washington,WA,53,2002,3.66,551.75,167.68,109.05
Washington,WA,53,2003,2.62,566.18,172.07,111.9
Washington,WA,53,2004,8.82,616.13,187.25,121.77
Washington,WA,53,2005,16.25,716.26,217.68,141.56
Washington,WA,53,2006,15.23,825.33,250.83,163.12
Washington,WA,53,2007,6.62,879.94,267.43,173.91
Washington,WA,53,2008,-1.88,863.39,262.4,170.64
Washington,WA,53,2009,-9.58,780.7,237.27,154.3
Washington,WA,53,2010,-7.78,719.96,218.81,142.29
Washington,WA,53,2011,-6.5,673.13,204.57,133.04
Washington,WA,53,2012,-2.56,655.89,199.34,129.63
Washington,WA,53,2013,4.85,687.72,209.01,135.92
Washington,WA,53,2014,8.04,743.01,225.81,146.85
Washington,WA,53,2015,7.01,795.11,241.64,157.15
Washington,WA,53,2016,10.53,878.81,267.08,173.69
Washington,WA,53,2017,10.28,969.13,294.53,191.54
Washington,WA,53,2018,9.25,1058.78,321.78,209.26
Washington,WA,53,2019,4.92,1110.82,337.6,219.55
Washington,WA,53,2020,5.52,1172.13,356.23,231.66
West Virginia,WV,54,1975,0,100,61.3,43.52
West Virginia,WV,54,1976,2.04,102.04,62.55,44.4
West Virginia,WV,54,1977,24.81,127.35,78.07,55.42
West Virginia,WV,54,1978,2.85,130.98,80.29,57
West Virginia,WV,54,1979,7.35,140.6,86.19,61.19
West Virginia,WV,54,1980,12.43,158.08,96.9,68.79
West Virginia,WV,54,1981,0.32,158.58,97.22,69.01
West Virginia,WV,54,1982,-20.45,126.15,77.33,54.9
West Virginia,WV,54,1983,18.95,150.05,91.99,65.3
West Virginia,WV,54,1984,-0.88,148.73,91.17,64.72
West Virginia,WV,54,1985,-0.96,147.3,90.3,64.1
West Virginia,WV,54,1986,3.22,152.04,93.21,66.17
West Virginia,WV,54,1987,0.97,153.53,94.11,66.81
West Virginia,WV,54,1988,1.19,155.36,95.24,67.61
West Virginia,WV,54,1989,2.8,159.71,97.9,69.5
West Virginia,WV,54,1990,2.14,163.13,100,70.99
West Virginia,WV,54,1991,3.65,169.07,103.65,73.58
West Virginia,WV,54,1992,3.01,174.17,106.77,75.79
West Virginia,WV,54,1993,4.15,181.4,111.2,78.94
West Virginia,WV,54,1994,5.35,191.11,117.15,83.17
West Virginia,WV,54,1995,4.17,199.07,122.03,86.63
West Virginia,WV,54,1996,3.46,205.97,126.26,89.63
West Virginia,WV,54,1997,3.19,212.53,130.28,92.49
West Virginia,WV,54,1998,3.44,219.83,134.76,95.67
West Virginia,WV,54,1999,1.93,224.08,137.37,97.52
West Virginia,WV,54,2000,2.55,229.79,140.87,100
West Virginia,WV,54,2001,3.79,238.51,146.21,103.79
West Virginia,WV,54,2002,2.27,243.91,149.52,106.14
West Virginia,WV,54,2003,2.02,248.84,152.54,108.29
West Virginia,WV,54,2004,5.32,262.09,160.66,114.05
West Virginia,WV,54,2005,9.02,285.73,175.16,124.34
West Virginia,WV,54,2006,5.21,300.63,184.29,130.83
West Virginia,WV,54,2007,1.84,306.18,187.69,133.24
West Virginia,WV,54,2008,-0.46,304.78,186.83,132.63
West Virginia,WV,54,2009,-3.14,295.22,180.97,128.47
West Virginia,WV,54,2010,-1.9,289.62,177.54,126.04
West Virginia,WV,54,2011,-1.6,285,174.71,124.02
West Virginia,WV,54,2012,-0.76,282.84,173.39,123.09
West Virginia,WV,54,2013,1.37,286.73,175.77,124.78
West Virginia,WV,54,2014,2.53,293.98,180.21,127.93
West Virginia,WV,54,2015,1.72,299.04,183.32,130.14
West Virginia,WV,54,2016,1.94,304.84,186.87,132.66
West Virginia,WV,54,2017,0.99,307.86,188.72,133.97
West Virginia,WV,54,2018,2.38,315.19,193.22,137.17
West Virginia,WV,54,2019,1.68,320.5,196.48,139.48
West Virginia,WV,54,2020,2.83,329.57,202.03,143.42
Wisconsin,WI,55,1975,0,100,47.34,29.3
Wisconsin,WI,55,1976,3.59,103.59,49.04,30.35
Wisconsin,WI,55,1977,14.97,119.1,56.39,34.9
Wisconsin,WI,55,1978,15.92,138.06,65.36,40.45
Wisconsin,WI,55,1979,11.18,153.49,72.67,44.97
Wisconsin,WI,55,1980,4.38,160.2,75.85,46.94
Wisconsin,WI,55,1981,-2.22,156.65,74.17,45.9
Wisconsin,WI,55,1982,-2.02,153.49,72.67,44.97
Wisconsin,WI,55,1983,8.77,166.96,79.05,48.92
Wisconsin,WI,55,1984,1.03,168.68,79.86,49.42
Wisconsin,WI,55,1985,2.18,172.36,81.61,50.5
Wisconsin,WI,55,1986,2.27,176.27,83.45,51.65
Wisconsin,WI,55,1987,1.59,179.06,84.78,52.46
Wisconsin,WI,55,1988,6.18,190.13,90.02,55.71
Wisconsin,WI,55,1989,5.96,201.45,95.38,59.03
Wisconsin,WI,55,1990,4.85,211.22,100,61.89
Wisconsin,WI,55,1991,4.24,220.17,104.24,64.51
Wisconsin,WI,55,1992,3.91,228.77,108.31,67.03
Wisconsin,WI,55,1993,4.43,238.92,113.11,70
Wisconsin,WI,55,1994,6.91,255.43,120.93,74.84
Wisconsin,WI,55,1995,7.8,275.35,130.36,80.68
Wisconsin,WI,55,1996,3.64,285.37,135.11,83.61
Wisconsin,WI,55,1997,4.56,298.38,141.27,87.42
Wisconsin,WI,55,1998,2.83,306.83,145.27,89.9
Wisconsin,WI,55,1999,4.55,320.79,151.88,93.99
Wisconsin,WI,55,2000,6.4,341.3,161.59,100
Wisconsin,WI,55,2001,5.11,358.75,169.85,105.11
Wisconsin,WI,55,2002,3.82,372.45,176.34,109.13
Wisconsin,WI,55,2003,3.23,384.48,182.03,112.65
Wisconsin,WI,55,2004,7.35,412.75,195.42,120.93
Wisconsin,WI,55,2005,8.18,446.5,211.4,130.82
Wisconsin,WI,55,2006,3.49,462.09,218.78,135.39
Wisconsin,WI,55,2007,1.06,467.01,221.1,136.83
Wisconsin,WI,55,2008,-1.25,461.17,218.34,135.12
Wisconsin,WI,55,2009,-3.83,443.5,209.97,129.94
Wisconsin,WI,55,2010,-4.2,424.87,201.15,124.48
Wisconsin,WI,55,2011,-3.25,411.07,194.62,120.44
