state_01,state_02,year,src_10_400,src_35_300
"AZ","VT",1960,0,0
"AZ","WA",1960,0,0
"AZ","WI",1960,0,0
"AZ","WV",1960,0,0
"AZ","WY",1960,0,0
"CA","AK",1960,0,0
"CA","AL",1960,0,1
"CA","AR",1960,0,1
"CA","AZ",1960,0,0
"CA","CA",1960,,
"CA","CO",1960,0,0
"CA","CT",1960,0,0
"CA","DE",1960,0,0
"CA","FL",1960,0,0
"CA","GA",1960,0,0
"CA","HI",1960,0,0
"CA","IA",1960,0,0
"CA","ID",1960,0,0
"CA","IL",1960,0,0
"CA","IN",1960,0,0
"CA","KS",1960,0,0
"CA","KY",1960,0,0
"CA","LA",1960,1,0
"CA","MA",1960,0,0
"CA","MD",1960,1,1
"CA","ME",1960,0,0
"CA","MI",1960,0,0
"CA","MN",1960,1,1
"CA","MO",1960,1,0
"CA","MS",1960,0,0
"CA","MT",1960,0,0
"CA","NC",1960,0,0
"CA","ND",1960,0,0
"CA","NE",1960,1,0
"CA","NH",1960,0,0
"CA","NJ",1960,0,0
"CA","NM",1960,0,1
"CA","NV",1960,0,0
"CA","NY",1960,0,1
"CA","OH",1960,0,0
"CA","OK",1960,0,0
"CA","OR",1960,1,0
"CA","PA",1960,0,0
"CA","RI",1960,0,1
"CA","SC",1960,0,0
"CA","SD",1960,0,0
"CA","TN",1960,0,0
"CA","TX",1960,0,0
"CA","UT",1960,0,0
"CA","VA",1960,0,0
"CA","VT",1960,0,0
"CA","WA",1960,0,0
"CA","WI",1960,1,0
"CA","WV",1960,0,0
"CA","WY",1960,0,0
"CO","AK",1960,0,0
"CO","AL",1960,0,0
"CO","AR",1960,0,0
"CO","AZ",1960,0,0
"CO","CA",1960,0,0
"CO","CO",1960,,
"CO","CT",1960,0,0
"CO","DE",1960,0,0
"CO","FL",1960,1,0
"CO","GA",1960,0,0
"CO","HI",1960,0,0
"CO","IA",1960,0,0
"CO","ID",1960,0,0
"CO","IL",1960,0,1
"CO","IN",1960,0,0
"CO","KS",1960,0,0
"CO","KY",1960,0,1
"CO","LA",1960,1,1
"CO","MA",1960,0,0
"CO","MD",1960,0,0
"CO","ME",1960,0,0
"CO","MI",1960,0,0
"CO","MN",1960,1,1
"CO","MO",1960,0,0
"CO","MS",1960,0,0
"CO","MT",1960,0,0
"CO","NC",1960,0,0
"CO","ND",1960,0,0
"CO","NE",1960,0,0
"CO","NH",1960,0,0
"CO","NJ",1960,1,0
"CO","NM",1960,0,0
"CO","NV",1960,0,0
"CO","NY",1960,0,0
"CO","OH",1960,0,0
"CO","OK",1960,0,0
"CO","OR",1960,1,0
"CO","PA",1960,1,0
"CO","RI",1960,1,1
"CO","SC",1960,0,0
"CO","SD",1960,0,0
"CO","TN",1960,0,0
"CO","TX",1960,0,0
"CO","UT",1960,0,0
"CO","VA",1960,0,0
"CO","VT",1960,0,0
"CO","WA",1960,1,0
"CO","WI",1960,0,1
"CO","WV",1960,0,0
"CO","WY",1960,0,0
"CT","AK",1960,0,0
"CT","AL",1960,0,0
"CT","AR",1960,0,0
"CT","AZ",1960,0,0
"CT","CA",1960,0,0
"CT","CO",1960,0,0
"CT","CT",1960,,
"CT","DE",1960,0,0
"CT","FL",1960,0,0
"CT","GA",1960,1,1
"CT","HI",1960,0,0
"CT","IA",1960,0,0
"CT","ID",1960,0,0
"CT","IL",1960,0,0
"CT","IN",1960,0,0
"CT","KS",1960,0,0
"CT","KY",1960,1,1
"CT","LA",1960,0,0
"CT","MA",1960,0,0
"CT","MD",1960,0,0
"CT","ME",1960,0,0
"CT","MI",1960,0,0
"CT","MN",1960,0,0
"CT","MO",1960,0,0
"CT","MS",1960,0,0
"CT","MT",1960,0,0
"CT","NC",1960,0,0
"CT","ND",1960,0,0
"CT","NE",1960,0,0
"CT","NH",1960,0,0
"CT","NJ",1960,0,0
"CT","NM",1960,0,0
"CT","NV",1960,0,0
"CT","NY",1960,1,1
"CT","OH",1960,0,1
"CT","OK",1960,0,0
"CT","OR",1960,0,1
"CT","PA",1960,1,0
"CT","RI",1960,0,1
"CT","SC",1960,0,1
"CT","SD",1960,0,0
"CT","TN",1960,1,0
"CT","TX",1960,0,0
"CT","UT",1960,0,0
"CT","VA",1960,0,0
"CT","VT",1960,0,0
"CT","WA",1960,0,0
"CT","WI",1960,0,0
"CT","WV",1960,0,0
"CT","WY",1960,0,0
"DE","AK",1960,0,0
"DE","AL",1960,0,0
"DE","AR",1960,0,0
"DE","AZ",1960,0,0
"DE","CA",1960,0,1
"DE","CO",1960,0,1
"DE","CT",1960,0,0
"DE","DE",1960,,
"DE","FL",1960,0,0
"DE","GA",1960,0,0
"DE","HI",1960,1,1
"DE","IA",1960,0,0
"DE","ID",1960,0,0
"DE","IL",1960,0,0
"DE","IN",1960,0,0
"DE","KS",1960,0,0
"DE","KY",1960,0,1
"DE","LA",1960,0,0
"DE","MA",1960,0,0
"DE","MD",1960,0,0
"DE","ME",1960,0,0
"DE","MI",1960,0,1
"DE","MN",1960,1,0
"DE","MO",1960,0,0
"DE","MS",1960,0,0
"DE","MT",1960,0,0
"DE","NC",1960,0,0
"DE","ND",1960,0,0
"DE","NE",1960,0,0
"DE","NH",1960,0,0
"DE","NJ",1960,0,0
"DE","NM",1960,0,0
"DE","NV",1960,1,0
"DE","NY",1960,0,0
"DE","OH",1960,0,0
"DE","OK",1960,0,0
"DE","OR",1960,0,0
"DE","PA",1960,0,0
"DE","RI",1960,1,0
"DE","SC",1960,0,1
"DE","SD",1960,0,0
"DE","TN",1960,0,0
"DE","TX",1960,0,0
"DE","UT",1960,0,1
"DE","VA",1960,0,0
"DE","VT",1960,0,0
"DE","WA",1960,0,0
"DE","WI",1960,0,0
"DE","WV",1960,0,0
"DE","WY",1960,0,0
"FL","AK",1960,0,0
"FL","AL",1960,0,1
"FL","AR",1960,0,0
"FL","AZ",1960,0,0
"FL","CA",1960,1,0
"FL","CO",1960,0,0
"FL","CT",1960,0,0
"FL","DE",1960,0,0
"FL","FL",1960,,
"FL","GA",1960,0,0
"FL","HI",1960,0,0
"FL","IA",1960,0,0
"FL","ID",1960,0,0
"FL","IL",1960,1,1
"FL","IN",1960,0,0
"FL","KS",1960,0,0
"FL","KY",1960,0,0
"FL","LA",1960,0,0
"FL","MA",1960,0,0
"FL","MD",1960,0,0
"FL","ME",1960,0,0
"FL","MI",1960,0,0
"FL","MN",1960,1,0
"FL","MO",1960,0,1
"FL","MS",1960,0,0
"FL","MT",1960,0,0
"FL","NC",1960,0,1
"FL","ND",1960,0,0
"FL","NE",1960,0,0
"FL","NH",1960,0,0
"FL","NJ",1960,0,0
"FL","NM",1960,0,0
"FL","NV",1960,0,0
"FL","NY",1960,1,0
"FL","OH",1960,0,0
"FL","OK",1960,0,0
"FL","OR",1960,0,0
"FL","PA",1960,0,0
"FL","RI",1960,1,1
"FL","SC",1960,0,0
"FL","SD",1960,0,0
"FL","TN",1960,0,0
"FL","TX",1960,0,0
"FL","UT",1960,0,0
"FL","VA",1960,1,0
"FL","VT",1960,0,0
"FL","WA",1960,0,1
"FL","WI",1960,0,0
"FL","WV",1960,0,0
"FL","WY",1960,0,0
"GA","AK",1960,0,0
"GA","AL",1960,0,0
"GA","AR",1960,0,0
"GA","AZ",1960,0,1
"GA","CA",1960,0,0
"GA","CO",1960,0,0
"GA","CT",1960,0,0
"GA","DE",1960,0,0
"GA","FL",1960,0,0
"GA","GA",1960,,
"GA","HI",1960,0,0
"GA","IA",1960,0,0
"GA","ID",1960,0,0
"GA","IL",1960,0,0
"GA","IN",1960,0,0
"GA","KS",1960,0,0
"GA","KY",1960,0,0
"GA","LA",1960,0,0
"GA","MA",1960,0,0
"GA","MD",1960,0,0
"GA","ME",1960,1,0
"GA","MI",1960,0,0
"GA","MN",1960,0,0
"GA","MO",1960,0,0
"GA","MS",1960,0,0
"GA","MT",1960,0,0
"GA","NC",1960,0,0
"GA","ND",1960,0,0
"GA","NE",1960,0,0
"GA","NH",1960,0,0
"GA","NJ",1960,0,0
"GA","NM",1960,1,1
"GA","NV",1960,0,0
"GA","NY",1960,0,0
"GA","OH",1960,0,0
"GA","OK",1960,0,0
"GA","OR",1960,0,0
"GA","PA",1960,1,0
"GA","RI",1960,0,1
"GA","SC",1960,0,0
"GA","SD",1960,0,0
"GA","TN",1960,0,1
"GA","TX",1960,1,0
"GA","UT",1960,0,0
"GA","VA",1960,0,0
"GA","VT",1960,0,0
"GA","WA",1960,1,0
"GA","WI",1960,0,0
"GA","WV",1960,0,0
"GA","WY",1960,0,0
"HI","AK",1960,0,0
"HI","AL",1960,0,0
"HI","AR",1960,0,0
"HI","AZ",1960,0,0
"HI","CA",1960,0,0
"HI","CO",1960,0,0
"HI","CT",1960,0,0
"HI","DE",1960,0,0
"HI","FL",1960,0,0
"HI","GA",1960,0,0
"HI","HI",1960,,
"HI","IA",1960,0,0
"HI","ID",1960,0,0
"HI","IL",1960,0,0
"HI","IN",1960,0,0
"HI","KS",1960,0,0
"HI","KY",1960,0,0
"HI","LA",1960,0,0
"HI","MA",1960,0,0
"HI","MD",1960,0,0
"HI","ME",1960,0,0
"HI","MI",1960,0,0
