AL,1986,4,135.89
AL,1987,1,138.02
AL,1987,2,138.99
AL,1987,3,139.63
AL,1987,4,138.22
AL,1988,1,142.1
AL,1988,2,142.98
AL,1988,3,142.59
AL,1988,4,141.29
AL,1989,1,141.42
AL,1989,2,143.36
AL,1989,3,145.47
AL,1989,4,146.56
AL,1990,1,145.42
AL,1990,2,146.63
AL,1990,3,147.27
AL,1990,4,147.4
AL,1991,1,148.63
AL,1991,2,150.92
AL,1991,3,151.71
AL,1991,4,154.18
AL,1992,1,155.46
AL,1992,2,155.67
AL,1992,3,158.6
AL,1992,4,159.91
AL,1993,1,160.99
AL,1993,2,162.75
AL,1993,3,165.64
AL,1993,4,167.1
AL,1994,1,168.2
AL,1994,2,170.21
AL,1994,3,170.91
AL,1994,4,171.08
AL,1995,1,172.67
AL,1995,2,176.08
AL,1995,3,178.88
AL,1995,4,180.26
AL,1996,1,183.42
AL,1996,2,183.38
AL,1996,3,183.76
AL,1996,4,185.91
AL,1997,1,187.99
AL,1997,2,189.29
AL,1997,3,192.15
AL,1997,4,194.71
AL,1998,1,197.89
AL,1998,2,199.42
AL,1998,3,201.59
AL,1998,4,204.08
AL,1999,1,204.77
AL,1999,2,205.58
AL,1999,3,205.96
AL,1999,4,207.5
AL,2000,1,208.29
AL,2000,2,210.06
AL,2000,3,211.71
AL,2000,4,214.38
AL,2001,1,220.65
AL,2001,2,221.55
AL,2001,3,223.18
AL,2001,4,225.69
AL,2002,1,226.09
AL,2002,2,227.31
AL,2002,3,230.63
AL,2002,4,233.31
AL,2003,1,235.71
AL,2003,2,237.79
AL,2003,3,239.41
AL,2003,4,240.99
AL,2004,1,243.2
AL,2004,2,244.76
AL,2004,3,249.28
AL,2004,4,253
AL,2005,1,256.36
AL,2005,2,262.41
AL,2005,3,267.91
AL,2005,4,273.37
AL,2006,1,278.83
AL,2006,2,283.49
AL,2006,3,288.07
AL,2006,4,293.53
AL,2007,1,295.58
AL,2007,2,299.62
AL,2007,3,300.26
AL,2007,4,302.62
AL,2008,1,304.54
AL,2008,2,303.35
AL,2008,3,301.04
AL,2008,4,302.63
AL,2009,1,304.78
AL,2009,2,301.48
AL,2009,3,294.28
AL,2009,4,293.38
AL,2010,1,289.23
AL,2010,2,284.94
AL,2010,3,288.72
AL,2010,4,286.35
AL,2011,1,278.8
AL,2011,2,275.06
AL,2011,3,277.28
AL,2011,4,279.38
AL,2012,1,276.49
AL,2012,2,274.66
AL,2012,3,276.55
AL,2012,4,276.95
AL,2013,1,274.29
AL,2013,2,274.84
AL,2013,3,274.4
AL,2013,4,273.22
AL,2014,1,275.22
AL,2014,2,275.93
AL,2014,3,278.99
AL,2014,4,280.19
AL,2015,1,283.22
AL,2015,2,284.17
AL,2015,3,285.73
AL,2015,4,287.86
AL,2016,1,288.43
AL,2016,2,292.43
AL,2016,3,297.13
AL,2016,4,296.38
AL,2017,1,297.92
AL,2017,2,301.59
AL,2017,3,304.48
AL,2017,4,306.5
AL,2018,1,310.12
AL,2018,2,314.97
AL,2018,3,317.59
AL,2018,4,318.46
AL,2019,1,324.39
AL,2019,2,328.87
AL,2019,3,333.46
AL,2019,4,337.52
AL,2020,1,341.54
AL,2020,2,346.15
AL,2020,3,353.27
AL,2020,4,360.35
AL,2021,1,367.06
AL,2021,2,384.62
AL,2021,3,405.68
AR,1975,1,66.79
AR,1975,2,60.74
AR,1975,3,65.27
AR,1975,4,62.68
AR,1976,1,66.46
AR,1976,2,68.93
AR,1976,3,71.67
AR,1976,4,72.27
AR,1977,1,73.33
AR,1977,2,75.14
AR,1977,3,78.53
AR,1977,4,81.07
AR,1978,1,81.19
AR,1978,2,83.58
AR,1978,3,86.29
AR,1978,4,86.1
AR,1979,1,92.07
AR,1979,2,95.23
AR,1979,3,99.65
AR,1979,4,101.83
AR,1980,1,100
AR,1980,2,101.24
AR,1980,3,107.07
