state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
NV,90367.6,94946.7,101276.5,105343.7,106656.8,110020.4,115571,128884.5,139694.9,145209.4,144404.8,138863.3,127242.4,128827.2,129733.5,128043,128272.7,129999.9,135429.2,139295.5,143733.4,149779.9,154139.4
NH,48425.1,51603.1,53058.4,56719.9,57432.7,59040.7,61610.3,63499,64356.4,65945,65697.9,65016.8,64449.6,66441.5,66840.1,67689.2,68800.2,69544.7,71511.1,72815.6,74118.8,75833.2,77872.8
NJ,426187.4,433778.7,448808.1,473035,476507.7,487050.2,499694.9,507585.4,513498.7,524056.2,526814.4,533053.7,511149.6,516589.3,510928.5,519745.8,523334.2,525728.5,535299.2,539942.8,543530.1,555755.1,563949.5
NM,67446.3,67087.2,70715.9,71956.4,72052.6,74274.7,77132.1,82842.9,83825,85890.7,86511.1,85976.8,87667.4,87004.1,87166.3,87601.6,86506,89275.2,91200.8,91268.3,91343.6,93604.6,97092
NY,976939.6,996663.2,1048059.2,1088004.8,1112238.7,1102140.1,1104937.1,1132504.2,1171051,1199903.8,1202725.8,1175470.9,1223229.4,1269486.5,1269244.9,1322447.9,1319298.5,1349268.1,1372162.8,1389680.6,1418942,1435636.2,1461558.7
NC,316366.3,326225.4,344425.2,354846.4,361354.5,366035.1,374503.2,388699.7,407491.4,432588.9,436437.2,446920.3,427107.8,433404.3,439088.5,439571,445361.4,455046.2,469478.8,475339,485498.6,497331.3,508625.1
ND,22410.8,23681.6,23704.9,24598.2,25017.3,26370.3,27993.9,28266.6,29106.8,30261.5,31667.5,34154.6,35043.2,37696.5,41942.3,51345.1,52530.8,56522.9,54901.6,51036.3,51014.7,52873,54099.6
OH,471885.5,487904.2,499060.3,508991.7,501815.4,514752,522648.9,534358.7,543744.7,541179.6,541411.2,537199.7,509215.7,521094.7,538703.3,540819.3,550800,571911.6,580414.1,585088.9,594315.2,605394.6,615600.2
OK,115413.5,117867.2,119724.8,124110.5,128721.1,131078.3,133084.3,137435.8,143072.5,152659,155464.7,161361.4,159235.6,159226.5,165153,173483.7,177601.6,187739.1,195902.1,190109.7,191544.2,196524.6,201314
OR,118539.2,124170.8,126883.5,137802,136687.5,139698.1,145584.9,152797.8,158462.8,167912.2,171113.5,173955.1,166653.2,169015.8,173883.1,174493.1,175805.1,181861,191999,200948.2,208625.8,216561.5,222384.3
